11:29:17,3/10/2018,0.02,5.64
11:29:27,3/10/2018,0.03,6.27
11:29:37,3/10/2018,0.02,5.55
11:29:47,3/10/2018,0.03,6.10
11:29:58,3/10/2018,0.02,5.78
11:30:8,3/10/2018,0.03,6.09
11:30:18,3/10/2018,0.02,5.81
11:30:28,3/10/2018,0.03,6.18
11:30:39,3/10/2018,0.02,5.60
11:30:49,3/10/2018,0.03,6.13
11:30:59,3/10/2018,0.02,5.73
11:31:9,3/10/2018,0.03,6.17
11:31:20,3/10/2018,0.02,5.92
11:31:30,3/10/2018,0.03,6.09
11:31:40,3/10/2018,0.02,5.68
11:31:50,3/10/2018,0.03,6.20
11:32:1,3/10/2018,0.02,5.85
11:32:11,3/10/2018,0.03,6.30
11:32:21,3/10/2018,0.02,5.67
11:32:32,3/10/2018,0.02,5.73
11:32:42,3/10/2018,0.02,5.95
11:32:52,3/10/2018,0.02,5.53
11:33:2,3/10/2018,0.03,6.13
11:33:13,3/10/2018,0.02,5.29
11:33:23,3/10/2018,0.02,5.86
11:33:33,3/10/2018,0.02,6.00
11:33:43,3/10/2018,0.02,5.79
11:33:54,3/10/2018,0.03,6.07
11:34:4,3/10/2018,0.02,5.65
11:34:14,3/10/2018,0.02,5.92
11:34:24,3/10/2018,0.02,5.75
11:34:35,3/10/2018,0.02,5.81
11:34:45,3/10/2018,0.03,6.03
11:34:55,3/10/2018,0.02,5.98
11:35:6,3/10/2018,0.03,6.16
11:35:16,3/10/2018,0.02,5.52
11:35:26,3/10/2018,0.03,6.11
11:35:36,3/10/2018,0.02,5.64
11:35:47,3/10/2018,0.03,6.02
11:35:57,3/10/2018,0.02,5.89
11:36:7,3/10/2018,0.02,5.92
11:36:17,3/10/2018,0.02,5.76
11:36:28,3/10/2018,0.03,6.14
11:36:38,3/10/2018,0.02,5.80
11:36:48,3/10/2018,0.03,6.05
11:36:58,3/10/2018,0.02,5.99
11:37:9,3/10/2018,0.02,5.54
11:37:19,3/10/2018,0.03,6.00
11:37:29,3/10/2018,0.02,5.61
11:37:39,3/10/2018,0.03,6.07
11:37:50,3/10/2018,0.02,5.35
11:38:0,3/10/2018,0.02,5.99
11:38:10,3/10/2018,0.02,5.90
11:38:21,3/10/2018,0.03,6.23
11:38:31,3/10/2018,0.02,5.84
11:38:41,3/10/2018,0.02,5.96
11:38:51,3/10/2018,0.02,5.37
11:39:2,3/10/2018,0.03,6.21
11:39:12,3/10/2018,0.02,5.71
11:39:22,3/10/2018,0.03,6.09
11:39:32,3/10/2018,0.02,5.33
11:39:43,3/10/2018,0.03,6.23
11:39:53,3/10/2018,0.02,5.89
11:40:3,3/10/2018,0.03,6.00
11:40:13,3/10/2018,0.02,5.72
11:40:24,3/10/2018,0.02,5.72
11:40:34,3/10/2018,0.02,5.85
11:40:44,3/10/2018,0.02,5.74
11:40:55,3/10/2018,0.03,6.20
11:41:5,3/10/2018,0.02,5.26
11:41:15,3/10/2018,0.03,6.04
11:41:25,3/10/2018,0.02,5.62
11:41:36,3/10/2018,0.02,5.95
11:41:46,3/10/2018,0.02,5.77
11:41:56,3/10/2018,0.02,5.53
11:42:6,3/10/2018,0.02,6.00
11:42:17,3/10/2018,0.02,5.64
11:42:27,3/10/2018,0.03,6.21
11:42:37,3/10/2018,0.02,5.81
11:42:47,3/10/2018,0.03,6.01
11:42:58,3/10/2018,0.03,6.02
11:43:8,3/10/2018,0.02,5.91
11:43:18,3/10/2018,0.03,6.11
11:43:28,3/10/2018,0.02,5.85
